"ca"	"year"	"edad.media"	"esperanza.vida"	"tasa.fecundidad"	"pib.capita"	"ratio.sexos"	"tasa.paro"	"tasa.suicidio"
"galicia"	2002	43.03	80.004643	28.850559	6.76860805037105	92.6844702667584	11.89	10.3749219141
"galicia"	2003	43.26	79.868101	30.554354	6.90817186183657	92.8279698242599	13.46	12.2496723121784
"galicia"	2004	43.54	80.632179	30.949206	7.30890464933018	92.916469728569	12.47	10.9415354863803
"galicia"	2005	43.79	80.511311	31.712168	8.11455847255371	92.9589694689817	9.14	11.9108043666674
"galicia"	2006	44.05	80.809416	32.305478	8.03192392596364	93.0300538387015	7.88	10.8400143955391
"galicia"	2007	44.28	80.888195	32.981778	7.25138845226867	93.1575324619228	7.46	10.9647026744136
"galicia"	2008	44.48	81.308332	35.30493	3.6932095749878	93.3583628318891	9.64	10.6315385308866
"galicia"	2009	44.66	81.457813	34.609459	-3.46744558560257	93.3021819775649	12.8	12.159841836222
"galicia"	2010	44.89	81.93459	34.277395	0.409956076134721	93.3274411135052	15.62	9.8296679395193
"galicia"	2011	45.13	82.107218	34.045773	-2.09487702926023	93.3436203816352	18.17	10.9464689052315
"galicia"	2012	45.38	82.235692	33.776708	-2.99856029389862	93.4053693235153	21.13	11.9360143347218
"galicia"	2013	45.65	82.602751	32.20862	0.194482829213372	93.3117978666749	21.88	12.0393067094731
"madrid"	2002	39.37	80.812551	40.939349	4.33611400764686	93.0043352323618	6.99	4.83069761786902
"madrid"	2003	39.35	80.625615	42.481153	4.45989839260432	93.3338854960929	7.16	4.8785247341204
"madrid"	2004	39.46	81.243223	43.229372	5.57703807056009	93.5028786276192	6.95	5.23701904052643
"madrid"	2005	39.42	81.499701	42.845801	6.10179731158436	93.8660295635356	5.9	4.30908514433675
"madrid"	2006	39.58	82.059673	44.047199	7.47330960854091	93.8418062873424	6.46	3.64502878823764
"madrid"	2007	39.66	82.07976	44.886619	4.69205298013247	93.8133044563724	6.4	2.61440530747297
"madrid"	2008	39.66	82.579478	46.60671	1.69212765284499	94.1094652396487	10.02	2.85411881234217
"madrid"	2009	39.75	82.925276	44.853758	-2.33266981836278	94.0103120904917	14.48	2.39551634493682
"madrid"	2010	39.93	83.39424	43.944886	-1.26425068466978	93.7074828911844	15.54	1.88892969527538
"madrid"	2011	40.18	83.625457	43.214827	0.116110304789552	93.3272879580653	17.96	2.1418621565316
"madrid"	2012	40.47	83.643808	42.056775	-1.21130118230728	92.9318452319985	19.32	1.46186232026787
"madrid"	2013	40.77	84.141818	40.574989	-1.12180009783139	92.641882279251	20.45	5.12658587393125
"murcia"	2002	37.23	78.958238	47.789706	5.95703125	100.89708345545	11.45	8.06850568829651
"murcia"	2003	37.25	79.106853	49.407958	5.69453587886768	101.645920547793	10.76	7.48485302112304
"murcia"	2004	37.37	79.541725	49.052822	4.89567113048894	101.465835300488	9.96	9.26859937560535
"murcia"	2005	37.46	79.709676	49.695709	6.13384003325217	102.778928960156	7.43	7.56105741013571
"murcia"	2006	37.56	80.26953	50.824978	6.11502741412107	103.527215314899	7.85	9.04907371054349
"murcia"	2007	37.74	80.303441	50.868574	5.04033321031265	102.994352506813	8.25	7.25513731963621
"murcia"	2008	37.83	80.434613	52.35331	2.16332881594139	102.828718123764	15.29	8.06389974398871
"murcia"	2009	37.98	80.895139	49.9896	-5.71877763584553	102.335675349799	21.84	6.70574896994165
"murcia"	2010	38.17	81.624755	48.835278	0.119854090672233	102.111696656676	24.45	6.15603917703332
"murcia"	2011	38.45	81.706004	47.464539	-2.95112684120127	101.797284238038	26.31	7.89078607874868
"murcia"	2012	38.76	81.718128	45.869746	-2.39193392684759	101.503986486671	29.37	7.18912624309149
"murcia"	2013	39.03	82.276459	44.724433	0.225274725274738	101.042737914278	28.5	6.92911716933336
"navarra"	2002	41.09	80.832514	41.253439	5.43660398436046	99.8638634704991	5.58	9.83097740981834
"navarra"	2003	41.09	80.908688	43.387682	4.77220554476425	99.921167004934	6.16	9.16621988550873
"navarra"	2004	41.18	81.460512	43.863358	5.48181856486747	99.7895276330401	5.14	10.0900580434864
"navarra"	2005	41.24	81.619054	42.463616	6.23152512582887	99.8996244337033	5.92	9.43599698048097
